Modül,Özellik,Durum,Branch,Ana dosyalar,Bağımlılıklar,Bilinen sorunlar,Not
Dünya,"128×128 prosedürel ada (FastNoiseLite, seed)",ÇALIŞIYOR,main,"map_gen.gd, world3d.gd",—,—,MAPTEST CI'da her koşuda
Dünya,Zemin türleri (çim/toprak/kum/su/kil),ÇALIŞIYOR,main,world3d.gd (_ground_char),harita,—,—
Dünya,"Dekor (çiçek/mantar/çalı, GLB ağaçlar)",ÇALIŞIYOR,main,world3d.gd (_build_decor),stil-vitrin (merged),—,pine_tree GLB bağlı
Dünya,"Çevre serpintisi (çakıl/dal, MultiMesh)",BRANCH'TE,gorsel-tur,"world3d.gd (_build_env_scatter), env_models.gd",—,—,ot tutamı kaldırıldı; tür başına tek MultiMesh
Dünya,"Aşınmış yol izi (zemin renk lekesi)",BRANCH'TE,gorsel-tur,"world3d.gd (_cell_props, _add_path_strip)",—,—,yol taşları kapalı (PATH_STONES_ON)
Dünya,"Zemin geçiş bandı (yama sınırları organik + harmanlı)",BRANCH'TE,gorsel-tur,"world3d.gd (_build_edge_blend), map_gen.gd",—,—,sınırda serpinti 1.7x
Dünya,"Spawn kampı (yıkık kulübe/kuyu/terk edilmiş tarla/yollar)",BRANCH'TE,gorsel-tur,"world3d.gd (_camp_plan, _build_spawn_camp)",—,—,TAMAMEN DEKOR; KAMPTEST CI'da
Tarım,"Boş sürülü tarla göstergesi (planting_mound)",BRANCH'TE,gorsel-tur,world3d.gd (_update_mound_node),tarım-3d,—,ekilince kaybolur; hasatta döner
Dünya,"Taş yol (SERPİNTİ modeli, stone_scatter_a)",ÇALIŞIYOR,main,"world3d.gd (_build_road_scatter), road_scatter.gd",—,moss_patch.glb yok → yosun hiç çizilmiyor,ROADTEST + SCATTERTEST CI'da; karo modeli TILE_MODE_ON=false ile kapalı
Araçlar,"Yerleşim Editörü (oyun içi düzenleme + camp_layout.json)",ÇALIŞIYOR,main,"layout_editor.gd, world3d.gd, hud.gd",taş yol,yalnız debug build; düzen dosyası henüz repoda yok,EDITORTEST CI'da; RAPOR_EDITOR.md
Dünya,Ağaç kesme + çalı yeniden büyüme,ÇALIŞIYOR,main,"world3d.gd, gather_rules.gd",alet,—,balta tek vuruş
Dünya,Kaya kırma (taş/kömür/altın/bakır),ÇALIŞIYOR,main,world3d.gd,kazma,—,—
Kazı,Kürekle kazı (derinlik 1–4),ÇALIŞIYOR,main,"world3d.gd (_depth), dig_rules.gd",kürek,—,—
Kazı,Toprak doldurma / zemin yükseltme (+2),ÇALIŞIYOR,main,world3d.gd,toprak item,—,—
Kazı,Merdiven (derin çukurdan çıkış),ÇALIŞIYOR,main,world3d.gd,muhendislik (merged),—,—
Kazı,Çukur kazığı (düşme hasarı),ÇALIŞIYOR,main,world3d.gd,—,yaratık hedefi yok (yaratık AI bekliyor),—
